parcel_id,parcel_description,parcel_category,parcel_name,parcel_weight
780281868,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,4.31
436774999,"A video, dvd & blu-ray item named dvd box set.","Video, DVD & Blu-ray",DVD Box Set,1.29
73361889,A home & garden item named garden tools.,Home & Garden,Garden Tools,9.82
848110430,A major appliances item named washing machine.,Major Appliances,Washing Machine,6.41
740354569,A watches item named watch.,Watches,Watch,7.54
547992398,"A video, dvd & blu-ray item named dvd box set.","Video, DVD & Blu-ray",DVD Box Set,10.14
580834163,"A video, dvd & blu-ray item named dvd box set.","Video, DVD & Blu-ray",DVD Box Set,1.31
326282004,A books item named novel.,Books,Novel,2.15
7645883,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,1.25
28830065,A pet supplies item named dog food.,Pet Supplies,Dog Food,7.66
425356038,A fine art item named painting.,Fine Art,Painting,12.94
61850083,A video games item named video game.,Video Games,Video Game,10.01
65124546,A watches item named watch.,Watches,Watch,6.77
603559952,A musical instruments item named guitar.,Musical Instruments,Guitar,2.75
803117806,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,5.48
940212508,A software item named antivirus software.,Software,Antivirus Software,1.64
930053079,A outdoors item named tent.,Outdoors,Tent,9.49
531760535,A consumer electronics item named headphones.,Consumer Electronics,Headphones,10.23
185755286,A outdoors item named tent.,Outdoors,Tent,14.81
355083510,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,2.21
395436130,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,3.86
685682440,A music and dvd item named dvd box set.,Music and DVD,DVD Box Set,8.51
141444084,A consumer electronics item named headphones.,Consumer Electronics,Headphones,13.17
844630454,A video games item named video game.,Video Games,Video Game,9.54
764543471,A entertainment collectibles item named autographed poster.,Entertainment Collectibles,Autographed Poster,4.43
501988765,A major appliances item named washing machine.,Major Appliances,Washing Machine,1.77
320455603,A personal computers item named laptop.,Personal Computers,Laptop,7.94
420410072,A books item named novel.,Books,Novel,4.55
733522426,A video games item named video game.,Video Games,Video Game,7.02
277961190,A home & garden item named garden tools.,Home & Garden,Garden Tools,8.98
75784751,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,6.98
404962924,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,14.73
43470718,A automotive & powersports item named car battery.,Automotive & Powersports,Car Battery,11.72
50121446,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,6.86
153697950,A personal computers item named laptop.,Personal Computers,Laptop,11.54
900751173,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,2.14
854106875,A toys & games item named lego set.,Toys & Games,Lego Set,13.3
83827881,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,1.69
124670018,A software item named antivirus software.,Software,Antivirus Software,1.47
865617982,A watches item named watch.,Watches,Watch,10.86
925337514,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,5.38
349264798,A books item named novel.,Books,Novel,8.24
864155554,A beauty item named lipstick.,Beauty,Lipstick,4.93
85230109,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,13.76
172509028,A personal computers item named laptop.,Personal Computers,Laptop,3.91
29605006,A consumer electronics item named headphones.,Consumer Electronics,Headphones,13.09
848783589,A fine art item named painting.,Fine Art,Painting,5.42
257918417,A cell phones & accessories item named smartphone case.,Cell Phones & Accessories,Smartphone Case,1.15
58683806,A personal computers item named laptop.,Personal Computers,Laptop,14.72
