Parcel with id 780281868, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 4.31.kg
Parcel with id 436774999, is a DVD Box Set, the a description "A video, dvd & blu-ray item named dvd box set.", in the Video, DVD & Blu-ray category and has a weight of 1.29.kg
Parcel with id 73361889, is a Garden Tools, the a description "A home & garden item named garden tools.", in the Home & Garden category and has a weight of 9.82.kg
Parcel with id 848110430, is a Washing Machine, the a description "A major appliances item named washing machine.", in the Major Appliances category and has a weight of 6.41.kg
Parcel with id 740354569, is a Watch, the a description "A watches item named watch.", in the Watches category and has a weight of 7.54.kg
Parcel with id 547992398, is a DVD Box Set, the a description "A video, dvd & blu-ray item named dvd box set.", in the Video, DVD & Blu-ray category and has a weight of 10.14.kg
Parcel with id 580834163, is a DVD Box Set, the a description "A video, dvd & blu-ray item named dvd box set.", in the Video, DVD & Blu-ray category and has a weight of 1.31.kg
Parcel with id 326282004, is a Novel, the a description "A books item named novel.", in the Books category and has a weight of 2.15.kg
Parcel with id 7645883, is a Stroller, the a description "A baby products (excluding apparel) item named stroller.", in the Baby Products (excluding apparel) category and has a weight of 1.25.kg
Parcel with id 28830065, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 7.66.kg
Parcel with id 425356038, is a Painting, the a description "A fine art item named painting.", in the Fine Art category and has a weight of 12.94.kg
Parcel with id 61850083, is a Video Game, the a description "A video games item named video game.", in the Video Games category and has a weight of 10.01.kg
Parcel with id 65124546, is a Watch, the a description "A watches item named watch.", in the Watches category and has a weight of 6.77.kg
Parcel with id 603559952, is a Guitar, the a description "A musical instruments item named guitar.", in the Musical Instruments category and has a weight of 2.75.kg
Parcel with id 803117806, is a Stroller, the a description "A baby products (excluding apparel) item named stroller.", in the Baby Products (excluding apparel) category and has a weight of 5.48.kg
Parcel with id 940212508, is a Antivirus Software, the a description "A software item named antivirus software.", in the Software category and has a weight of 1.64.kg
Parcel with id 930053079, is a Tent, the a description "A outdoors item named tent.", in the Outdoors category and has a weight of 9.49.kg
Parcel with id 531760535, is a Headphones, the a description "A consumer electronics item named headphones.", in the Consumer Electronics category and has a weight of 10.23.kg
Parcel with id 185755286, is a Tent, the a description "A outdoors item named tent.", in the Outdoors category and has a weight of 14.81.kg
Parcel with id 355083510, is a Stroller, the a description "A baby products (excluding apparel) item named stroller.", in the Baby Products (excluding apparel) category and has a weight of 2.21.kg
Parcel with id 395436130, is a Drill, the a description "A tools & home improvement item named drill.", in the Tools & Home Improvement category and has a weight of 3.86.kg
Parcel with id 685682440, is a DVD Box Set, the a description "A music and dvd item named dvd box set.", in the Music and DVD category and has a weight of 8.51.kg
Parcel with id 141444084, is a Headphones, the a description "A consumer electronics item named headphones.", in the Consumer Electronics category and has a weight of 13.17.kg
Parcel with id 844630454, is a Video Game, the a description "A video games item named video game.", in the Video Games category and has a weight of 9.54.kg
Parcel with id 764543471, is a Autographed Poster, the a description "A entertainment collectibles item named autographed poster.", in the Entertainment Collectibles category and has a weight of 4.43.kg
Parcel with id 501988765, is a Washing Machine, the a description "A major appliances item named washing machine.", in the Major Appliances category and has a weight of 1.77.kg
Parcel with id 320455603, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 7.94.kg
Parcel with id 420410072, is a Novel, the a description "A books item named novel.", in the Books category and has a weight of 4.55.kg
Parcel with id 733522426, is a Video Game, the a description "A video games item named video game.", in the Video Games category and has a weight of 7.02.kg
Parcel with id 277961190, is a Garden Tools, the a description "A home & garden item named garden tools.", in the Home & Garden category and has a weight of 8.98.kg
Parcel with id 75784751, is a Lab Equipment, the a description "A industrial & scientific item named lab equipment.", in the Industrial & Scientific category and has a weight of 6.98.kg
Parcel with id 404962924, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 14.73.kg
Parcel with id 43470718, is a Car Battery, the a description "A automotive & powersports item named car battery.", in the Automotive & Powersports category and has a weight of 11.72.kg
Parcel with id 50121446, is a Lab Equipment, the a description "A industrial & scientific item named lab equipment.", in the Industrial & Scientific category and has a weight of 6.86.kg
Parcel with id 153697950, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 11.54.kg
Parcel with id 900751173, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 2.14.kg
Parcel with id 854106875, is a Lego Set, the a description "A toys & games item named lego set.", in the Toys & Games category and has a weight of 13.3.kg
Parcel with id 83827881, is a Lab Equipment, the a description "A industrial & scientific item named lab equipment.", in the Industrial & Scientific category and has a weight of 1.69.kg
Parcel with id 124670018, is a Antivirus Software, the a description "A software item named antivirus software.", in the Software category and has a weight of 1.47.kg
Parcel with id 865617982, is a Watch, the a description "A watches item named watch.", in the Watches category and has a weight of 10.86.kg
Parcel with id 925337514, is a Stroller, the a description "A baby products (excluding apparel) item named stroller.", in the Baby Products (excluding apparel) category and has a weight of 5.38.kg
Parcel with id 349264798, is a Novel, the a description "A books item named novel.", in the Books category and has a weight of 8.24.kg
Parcel with id 864155554, is a Lipstick, the a description "A beauty item named lipstick.", in the Beauty category and has a weight of 4.93.kg
Parcel with id 85230109, is a Stroller, the a description "A baby products (excluding apparel) item named stroller.", in the Baby Products (excluding apparel) category and has a weight of 13.76.kg
